x,y,rot
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.1613498260439512
0.0,0.0,0.15227431528087437
0.0,0.0,0.1508863420177979
0.0,0.0,0.1527984187547217
0.0,0.0,0.1566917329916448
0.0,0.0,0.156435034728568
0.0,0.0,0.15789076146549083
0.0,0.0,0.16370278820241418
0.0,0.0,0.1684210649393375
0.0,0.0,0.17156434167626042
0.0,0.0,0.17590136841318438
0.0,0.0,0.18032580765010733
0.0,0.0,0.18032580765010733
0.0,0.0,0.18026224862395396
0.0,0.0,0.17672421286087722
0.0,0.0,0.17047373959780093
0.0,0.0,0.16835436633472367
0.009569931598430916,7.252745730213151e-05,1.011960143071647
0.024212061013069004,0.0004731529369195872,1.7200280905004106
0.05397010983673935,0.0013251674654465634,1.449909296545487
0.09622144258429668,0.0023087511413235158,1.4497274607824104
0.15781572421578022,0.004172601704605655,1.9120707375193364
0.23361458196793147,0.0073992116695416246,2.922258001756266
0.3162741638190366,0.01235182788127892,3.8693512784931925
0.4077442099319139,0.01862656763307229,3.804850842730119
0.5091729158376118,0.025940160949578704,4.7834441194670365
0.6341716922062981,0.03724952675707799,5.454699983703944
0.7550089116101895,0.05016714305992496,6.682530497940868
0.8917644699688926,0.06635288850267712,6.558204695369627
1.0271854517657981,0.08231419469359275,6.915779551414718
1.189641496721552,0.10230511687148555,7.16899933719242
1.3523594437856299,0.12397411541795336,8.067192613929357
1.5231859676019341,0.148867139923611,8.20482306135809
1.6901575339186239,0.1715199514697977,7.222578888095034
1.855326195545532,0.19063907984315687,5.956753744140112
1.9985704018383073,0.20416428201650505,4.896221729068898
2.15294424051999,0.21512686661900612,3.1285460933058125
2.3131174047672585,0.22193466397376374,1.7936959493508908
2.4887142538647744,0.22452258799494781,-0.35555485322034497
2.6462923411588957,0.22014422205401676,-3.4101053264834187
2.72646194359752,0.21255786374838562,-7.471930895438325
2.7851011925575317,0.20255539927692212,-12.420150118701391
2.8209534823283993,0.19288824866062287,-18.13141934196446
2.8598323630814946,0.17725405455292545,-25.648863565227504
2.896489297215564,0.1565044524937972,-33.10964512599057
2.951058322959708,0.11692965578690345,-38.208996128561765
3.0205647119326438,0.060096516521426654,-39.63480877251675
3.116446713983535,-0.020832749805583,-40.90650353758797
3.2376798607509967,-0.12800842665253226,-42.310209931542865
3.366507879749993,-0.2520643863340316,-45.98021731342234
3.4692672254860244,-0.3708252581196654,-52.89069889487731
3.5317458537136206,-0.46503109271528015,-60.661617788832
3.5625491408014978,-0.5284748964095084,-67.72307521209522
3.584015460252008,-0.5934020929173661,-76.31652017716644
3.601204190070128,-0.6882517413280967,-82.3056706504295
3.612239619565615,-0.8073082690439368,-86.48602580688463
3.6159561077412863,-0.9719642913725614,-91.04463878014768
3.6021141005196324,-1.150941470532638,-98.7683701909106
3.5611997159805218,-1.316232632895904,-109.41329566417383
3.497418684862193,-1.4496741157782385,-122.57999517493698
3.4173293492061396,-1.548568365553862,-136.15750189820002
3.3196027754936908,-1.6182631353413544,-153.21429710628968
3.2409647734907,-1.6481698608842288,-164.4259418045526
3.164725438521775,-1.6644222093134304,-170.38476119031617
3.0493663489398615,-1.6795749154427482,-174.76028035538724
2.9025592156317788,-1.6868272756025358,-179.38861799934222
2.7248308110633497,-1.6794895670605579,174.57153152739505
2.5233464167223585,-1.6504054163653534,169.2230873041319
2.3270531819661935,-1.6001904835501422,160.6536999058693
2.1864513426612913,-1.5305273023343906,145.46458104510575
2.080051104906419,-1.4265452589019798,124.69973703003537
2.0342772201243644,-1.326241707209737,103.77283063608004
2.025759510221434,-1.2554253815117724,90.88066766281723
2.024996965039488,-1.2121121374778108,92.19637968955456
2.023442559589596,-1.1662969392488796,91.12673513698306
2.022825691386514,-1.1048239278795655,90.37748494302754
2.022088452338326,-1.0168678839682241,90.69533953226468
2.0196650129984635,-0.916008723803753,91.7399159805423
2.016415215268989,-0.8042805904131488,91.54622751977833
2.0142474629435947,-0.6761257848618347,90.13878921720757
2.016304751436712,-0.5378161676550745,88.20882648144601
2.0249942774034757,-0.3847754129543471,85.02607054999031
2.0421762146099476,-0.23951469268244277,81.71518235172745
2.0697116595539304,-0.09714520974436106,75.1875324659641
2.113136174659726,0.015495610835977176,60.47408218020195
2.1833549444979035,0.09987462596315011,39.12364346513132
2.2648532389752405,0.14843581305672762,24.99727396686817
2.3854196981675146,0.1952652236894836,18.025404743605584
2.543243171934072,0.23493340307063282,9.700798762150677
2.709478933851477,0.25282139555855204,4.20169766388752
2.905796239469409,0.26280583863320045,1.306177965624536
3.0951077864935326,0.26484579168727507,0.6160757552856468
3.2967022866906412,0.2686703946876908,1.6939408363315895
3.4977063340036714,0.275568930644402,2.10332311780078
3.7090843090084724,0.284520028066056,2.991560144538733
3.912150041577888,0.2971424615917895,4.130990816967395
4.114679955526983,0.31490972318385235,5.7349403437032995
4.3146089661639735,0.33740532000106555,7.159252699747737
4.509198312300933,0.3643260494307529,8.5222149764837
4.679785009909963,0.39057281090702,8.518239640721124
4.8141560917142,0.41004111595314124,8.355151354957972
4.923575200567334,0.42645219886801033,8.505664961428181
5.010154739996248,0.43925366087007545,8.582214488165148
5.056340433086877,0.44629385678852473,8.57271401490176
5.076675514535796,0.4493618571495885,8.586314971371124
5.077253402242685,0.44944917110050325,8.57167360757332
5.07663944648605,0.4493560705142452,8.644733665316808
5.076964488722709,0.44940531404593675,8.593320692054018
